episode,total_reward
129,1640.13952655
130,1913.27764853
131,1913.28019993
132,1913.43326996
133,2186.68007269
134,1913.56762994
135,2186.87454802
136,1913.54080322
137,2460.4716936
138,1913.53279195
139,2186.66382636
140,1913.27287496
141,2186.55838843
142,1913.59531367
143,1913.40370385
144,1913.67720289
145,2186.69822237
146,2187.30975076
147,3008.09163258
148,2734.69773869
149,2461.26854752
150,2461.27554581
151,3007.91716115
152,2734.6396515
153,2734.56916518
154,2734.63564561
155,3281.88297987
156,2734.5943643
157,2734.50558918
158,22884.970363
159,21282.2850094
160,23460.5486574
161,23488.549978
162,23476.1167466
163,23472.5953178
164,23481.7082392
165,23467.650254
166,23404.6895135
167,23473.0142349
168,23429.6864513
169,23451.2557287
170,23479.6987697
171,23479.7861662
172,23489.9626979
173,23433.7860964
174,23458.825615
175,23488.1377391
176,23466.6989106
177,23476.326907
178,23494.3376964
179,23480.9260654
180,23490.7277773
181,23482.8711156
182,23494.2010407
183,23491.3343069
184,23449.3569213
185,23446.874655
186,23480.4214093
187,23488.561283
188,23487.0446364
189,23476.9516719
190,23490.6947899
191,23464.0447827
192,23484.434472
193,23478.9037557
194,23379.0248374
195,23485.736646
196,23460.7040488
197,23486.4575544
198,23480.9202593
199,23486.4838514
200,23479.7238947
201,23492.3473035
202,23437.9614035
203,23484.2736633
204,23446.9843054
205,23479.4574547
206,23424.1964431
207,23484.7881921
208,23465.3278453
209,23487.3519786
210,23491.6238978
211,23454.7174504
212,23464.0795187
213,23474.827238
214,23467.0105974
215,23488.9705366
216,23490.3084032
217,23329.5902631
218,23426.0960953
219,23489.6089174
220,23485.0057598
221,23483.1636831
222,23479.4703274
223,23485.3652375
224,23489.4801396
225,23498.3766553
226,23488.0402433
227,23488.0254119
228,23477.5336915
229,23485.9641831
230,23489.4146739
231,23447.3696002
232,23484.1807201
233,23485.6640246
234,23481.9937224
235,23488.2618879
236,23428.3494353
237,23436.2571897
238,23472.6299439
239,23486.9621375
240,23426.5004959
241,23468.2449867
242,23482.1899262
243,23475.5639703
244,23479.5370592
245,23451.4604448
246,23477.203769
247,23477.9008007
248,23484.6114133
249,23483.6891431
250,23476.0998742
251,23484.689191
252,23493.1073802
253,23488.5136397
254,23477.110611
255,23483.2567617
256,23455.6603197
257,23483.4197398
258,23488.6595749
259,23454.4198473
260,23487.0368921
261,23447.1755677
262,23455.4150074
263,23495.2776714
264,23468.7595068
265,23458.6990643
266,23486.171001
267,23479.2952062
268,23489.2704004
269,23492.1713859
270,23480.5864461
271,23485.0535401
272,23485.7801313
273,23450.9631644
274,23473.4279491
275,23470.7516168
276,23483.2112062
277,23478.0038643
278,23487.8613881
279,23482.1403508
280,23480.9830683
281,23477.005943
282,23464.3534201
283,23485.912163
284,23489.1536842
285,23472.2216115
286,23446.0286903
287,23449.2149273
288,23478.9792044
289,23462.2385171
290,23484.5800789
291,23472.0287073
292,23445.7497407
293,23477.1992395
294,23486.2990938
295,23461.7003831
296,23491.5246309
297,23487.2836907
298,23483.4404025
299,23482.710001
300,23481.8179106
301,23486.5902001
302,23448.0678561
303,23484.9404442
304,23487.8464682
305,23458.7061758
306,23492.5511962
307,23486.2067942
308,23458.8554936
309,23463.287054
310,23492.5443672
311,23465.2818611
312,23466.0530455
313,23447.6250819
314,23463.4474487
315,23487.8422213
316,23485.198267
317,23477.5013047
318,23483.0370424
319,23483.5599575
320,23459.4321732
321,23486.9171667
322,23457.6207594
323,23490.6505282
324,23479.3885285
325,23482.3887782
326,23467.455142
327,23475.5784241
328,23433.6834814
329,23484.1203597
330,23475.7156839
331,23475.6225502
332,23489.8242924
333,23488.1844405
334,23486.3837998
335,23492.1503729
336,23487.6252833
337,23492.2670841
338,23459.32025
339,23489.2116814
340,23483.806434
341,23422.1879992
342,23474.8097182
343,23400.0577152
344,23477.671204
345,23478.6101502
346,23486.7312236
347,23484.5929313
348,23477.7031465
349,23488.3188479
350,23493.7249367
351,23477.5561973
352,23474.6145075
353,23443.8180749
354,23466.0193292
355,23448.5844924
356,23483.9833557
357,23465.1023859
358,23484.4192665
359,23488.3514711
360,23455.1138177
361,23466.0106116
362,23487.959043
363,23488.5600646
364,23486.5673089
365,23339.7741403
366,23452.5234096
367,23462.195801
368,23487.9592812
369,23484.7705399
370,23469.277178
371,23457.0031111
372,23480.6478132
373,23468.8729396
374,23489.4221566
375,23488.8376368
376,23490.2943487
377,23440.8943498
378,23474.9350864
379,23485.1574092
380,23485.4454121
381,23486.1176354
382,23479.4370741
383,23440.1311051
384,23477.4501128
385,23421.1715487
386,23482.9132717
387,23446.6453777
388,23488.5312838
389,23414.4894009
390,23474.5037302
391,23461.7248641
392,23476.5721999
393,23496.6167486
394,23487.739865
395,23449.6200759
396,23478.9340984
397,23493.3272018
398,23490.7343384
399,23486.6258724
400,23443.3838723
401,23496.9234163
402,23470.5745978
403,23481.5966372
404,23480.0364363
405,23485.724905
406,23491.6800126
407,23465.0466526
408,23481.1423619
409,23486.1413643
410,23490.0092103
411,23454.9229532
412,23488.2302117
413,23488.3509138
414,23489.1095883
415,23467.9434561
416,23475.7246945
417,23453.648409
418,23490.9948552
419,23488.3586594
420,23470.3034948
421,23477.379366
422,23479.2074998
423,23488.0547328
424,23483.9620841
425,23488.5338296
426,23474.8410872
427,23469.8953772
428,23481.4055362
429,23488.3356468
430,23430.3016882
431,23475.1257334
432,23350.743973
433,23437.0058945
434,23487.0511061
435,23473.111535
436,23487.1655749
437,23486.0744803
438,23490.6976473
439,23485.8792631
440,23491.1561911
441,23400.5170174
442,23482.0215016
443,23484.7530978
444,23488.7560471
445,23490.8566023
446,23487.8097636
447,23479.3157448
448,23479.1390968
449,23487.451042
450,23473.944936
451,23482.3592359
452,23489.6487931
453,23491.9419898
454,23471.1656716
455,23491.6437711
456,23491.359124
457,23483.9237873
458,23444.7382675
459,23475.6380087
460,23489.731422
461,23485.0096012
462,23469.1274768
463,23476.9323961
464,23477.8014751
465,23479.8281743
466,23487.2351351
467,23489.1735417
468,23489.3066548
469,23477.0926218
