time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.58441951057e-08,2.98155408189e-07,10.0018828901,0.000294655096988,6.28299019278,0.0,1.13525095951e-05,2.5570089513e-05,0.0627610309825,0.0132665232894,-0.0107124330775,0.0,425.76731574873736,424.8500492985322,423.96314584032194,425.1011948733735
0.12000000000000001,7.87157456279e-06,1.20385567573e-05,10.0103730666,0.000583464681967,6.28223599062,0.0,0.000325048856291,0.000437923200524,0.220226779517,-0.0231369739355,-0.0165712105729,0.0,454.96132681946096,454.49220392051905,456.28677440951253,453.3717795839257
0.18,5.30283613539e-05,4.58859840922e-05,10.0286566458,6.28252964912,6.28135026156,0.0,0.00128536624478,0.000543348622174,0.389182723798,-0.0160957713456,-0.0113696339683,0.0,458.27899857244853,458.6923045670962,457.89188421602717,458.45161864636486
0.23999999999999996,0.000172901509531,6.06816744857e-05,10.0561484535,6.28189579889,6.28067323809,0.0,0.00278344533247,-0.000134241238799,0.527156513479,-0.00132031814782,-0.011112457822,0.0,448.8913390071769,448.9123297975925,448.4352347818173,449.6337716144936
0.3,0.000394384903832,2.59139201032e-05,10.0907617217,6.28202557591,6.27987830635,0.0,0.0046732973305,-0.00102124926169,0.626569111986,0.00835056639364,-0.017906165102,0.0,437.64202166166774,437.0763819024601,436.27911623131695,437.0856776089789
0.36000000000000004,0.000758989625573,-6.02014002196e-05,10.1347387174,6.28307950768,6.27888195374,0.0,0.00760246527182,-0.0017515460434,0.839198298156,0.0315208722204,-0.0141246000486,0.0,471.52977926246353,471.821882473587,470.86725567287584,472.6560089882497
0.4200000000000001,0.00129993692071,-0.00016040311756,10.1864378751,0.00204346524638,6.27798669395,0.0,0.0105106816142,-0.00139785423573,0.884072546873,0.0432694666368,-0.0165632767185,0.0,419.9031829402464,419.6916900764028,419.25044903201706,420.27050126022374
0.48000000000000015,0.00202872824049,-0.000197547972457,10.2400979549,0.00518094982589,6.27722664867,0.0,0.0138605336048,0.000422234115528,0.90457939108,0.066017478675,-0.00583503887801,0.0,411.0416261017066,411.9912471517532,410.9165476064253,412.929840981005
0.5400000000000001,0.003004770688,-2.79206632656e-05,10.3006929127,0.0104550377646,6.27647840665,0.0,0.0187318408379,0.00579936062714,1.11506674286,0.113142873688,-0.0310324038469,0.0,472.4013658002413,470.4547141123865,469.75636891543417,473.4012330172105
0.6000000000000002,0.0042660325532,0.000548165908506,10.369420072,0.0169078091652,6.27465450995,0.0,0.0234870280271,0.0140428570884,1.175768291,0.0929747821143,-0.0291594857096,0.0,426.255477157136,426.4151379430025,425.59595402423236,423.87700111838404
0.6600000000000003,0.00585793562716,0.00176099569427,10.442934995,0.0226569924715,6.27289056497,0.0,0.0297543686852,0.0269601627005,1.27461107633,0.100972509843,-0.0298825523903,0.0,438.02678743556476,437.9663840092652,437.6120442074817,438.2851368986076
0.7200000000000003,0.00788173532249,0.00391244337744,10.5241925651,0.0288855442666,6.27106782022,0.0,0.0379038696456,0.0454312448674,1.43376883383,0.108948076819,-0.0313909146261,0.0,456.53531207135853,456.4146811908242,457.1498354190928,457.7938546581152
0.7800000000000004,0.0103569213526,0.00712331671827,10.6086704719,0.0354358946021,6.26910521597,0.0,0.0447560599569,0.062120370796,1.3822065605,0.109617234808,-0.0354876775642,0.0,387.79384216621764,387.4082746301753,388.5485000265539,388.623613589549
0.8400000000000004,0.0133419656527,0.0116090841091,10.6946298599,0.042060502552,6.26671342617,0.0,0.0549725779895,0.0880743684191,1.48295050195,0.111949221596,-0.0504860304679,0.0,440.1696129686495,438.9258774689384,438.7881709668634,438.9926500077161
0.9000000000000005,0.0169636848338,0.0177156043588,10.7849230874,0.0485771338441,6.26381758049,0.0,0.0660277801981,0.11609409717,1.52673149901,0.100927185238,-0.044155619461,0.0,420.3152880709686,420.8619288917455,422.1713849100603,421.2303983616502
0.9600000000000005,0.0213376482678,0.0257125390395,10.8796010385,0.0548175413453,6.26092557302,0.0,0.0800503179997,0.151092348529,1.62901879447,0.10954266141,-0.057848453522,0.0,440.225157147537,439.0892576529802,440.5125987299165,441.23387118162736
1.0200000000000005,0.0266050252944,0.0359136764583,10.9799324901,0.0613685800145,6.25757073054,0.0,0.0958671892155,0.18959303888,1.71518729982,0.108457435203,-0.0523029938429,0.0,435.366799085014,435.82830039580733,435.5335705371874,435.4535873394634
1.0800000000000005,0.0329837368453,0.0487846517446,11.0890581819,0.0678725449988,6.25412921107,0.0,0.117132751319,0.240183356163,1.92194493491,0.108283227547,-0.070106282588,0.0,474.49803918792946,473.1272758540425,472.0641465505481,472.06029800198945
1.1400000000000006,0.040604403622,0.0645662768985,11.2065354547,0.0739828895091,6.2499372102,0.0,0.137297091196,0.28648094585,1.99377689735,0.0840835007871,-0.0693919837295,0.0,431.7238171195863,431.78020364767474,433.63201897134803,431.60351153510607
1.2000000000000006,0.0494844530833,0.0831700749181,11.3273673729,0.0786817780545,6.24674382873,0.0,0.15903427727,0.33409383188,2.03382761051,0.0631254584425,-0.032337449356,0.0,421.73119361497925,424.9170303308423,421.9847097849528,420.17687443660634
1.2600000000000007,0.06003338911,0.105383891946,11.4590106483,0.0825318791869,6.24483837024,0.0,0.192832831665,0.406827572591,2.35361221651,0.0661756541278,-0.0306227355906,0.0,506.3329826198105,506.4560915952561,506.7502004874817,506.9718522862656
